GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Engine RPM(rpm),Speed (OBD)(mph),Throttle Position(%),Trip Distance(miles),Miles Per Gallon (diesel support in pro version)(mpg)
Thu Dec 03 14:17:35 EST 2015,03-Dec-2015 14:17:35.055,-75.70432486,39.51767673,0.0,3.0,11.800000190734863,0.0,0.19153613,6.3589997,8.312668,0.086049974,1138.25,0.0,18.431373596191406,0.007855925092470628,-
Thu Dec 03 14:17:35 EST 2015,03-Dec-2015 14:17:35.554,-75.70432486,39.51767673,0.0,3.0,11.800000190734863,0.0,1.0726024,5.554548,8.810662,0.086328566,1142.0,0.0,18.431373596191406,0.007855925092470628,0.0
Thu Dec 03 14:17:36 EST 2015,03-Dec-2015 14:17:36.053,-75.70432501,39.51767663,0.0,3.0,11.800000190734863,0.0,0.15322891,7.201759,4.7500963,-0.10143119,1120.25,0.0,18.431373596191406,0.007866500202083404,0.0
Thu Dec 03 14:17:36 EST 2015,03-Dec-2015 14:17:36.554,-75.70432501,39.51767663,0.0,3.0,11.800000190734863,0.0,4.2904096,1.2641385,8.197746,-0.029057145,1126.5,0.0,18.431373596191406,0.007866500202083404,0.0
Thu Dec 03 14:17:37 EST 2015,03-Dec-2015 14:17:37.054,-75.704325,39.51767661,0.0,4.0,11.800000190734863,0.0,0.6895301,3.4476504,9.691729,0.0699448,1142.0,0.0,18.431373596191406,0.007867979930401225,0.0
Thu Dec 03 14:17:37 EST 2015,03-Dec-2015 14:17:37.554,-75.704325,39.51767661,0.0,4.0,11.800000190734863,0.0,0.80445176,3.2561142,9.423578,0.038639367,1143.75,0.0,18.431373596191406,0.007867979930401225,0.0
Thu Dec 03 14:17:38 EST 2015,03-Dec-2015 14:17:38.054,-75.70432463,39.51767648,0.0,3.0,11.800000190734863,0.0,0.7278373,3.2944214,9.615114,0.05772239,1125.75,0.0,18.431373596191406,0.007889689170962333,0.0
Thu Dec 03 14:17:38 EST 2015,03-Dec-2015 14:17:38.554,-75.70432463,39.51767648,0.0,3.0,11.800000190734863,0.0,0.80445176,3.2944214,9.730036,0.06936437,1131.25,0.0,18.431373596191406,0.007889689170962333,0.0
Thu Dec 03 14:17:39 EST 2015,03-Dec-2015 14:17:39.054,-75.70432446,39.51767639,0.0,3.0,11.800000190734863,0.0,0.45968673,3.064578,9.232041,0.011686146,1135.0,0.0,18.431373596191406,0.00790069193768378,0.0
Thu Dec 03 14:17:39 EST 2015,03-Dec-2015 14:17:39.553,-75.70432446,39.51767639,0.0,3.0,11.800000190734863,0.0,0.49799395,3.1794999,9.078813,8.903146E-4,1142.75,0.0,18.431373596191406,0.00790069193768378,0.0
